method,path,operation_name,domain,tags
POST,/api/v1/datasets/{dataset_id}/transformations/apply,apply_transformations_api_v1_datasets__dataset_id__transformations_apply_post,dataset_analytics,
POST,/api/v1/datasets/{dataset_id}/transformations/preview,preview_transformations_api_v1_datasets__dataset_id__transformations_preview_post,dataset_analytics,
GET,/api/v1/datasets/{dataset_id}/versions,list_dataset_versions_api_v1_datasets__dataset_id__versions_get,dataset_analytics,
POST,/api/v1/datasets/{dataset_id}/visualization/recommend,recommend_visualizations_api_v1_datasets__dataset_id__visualization_recommend_post,dataset_analytics,
POST,/api/v1/excel-reports/generate,generate_excel_report_api_v1_excel_reports_generate_post,platform,
GET,/api/v1/experiments,list_experiments_api_v1_experiments_get,mlops,data-intelligence
POST,/api/v1/experiments,create_experiment_api_v1_experiments_post,mlops,data-intelligence
POST,/api/v1/experiments/{experiment_id}/runs,create_experiment_run_api_v1_experiments__experiment_id__runs_post,mlops,data-intelligence
GET,/api/v1/intelligence/capabilities,intelligence_capabilities_api_v1_intelligence_capabilities_get,platform,data-intelligence
GET,/api/v1/intelligence/jobs/{job_id},get_intelligence_job_api_v1_intelligence_jobs__job_id__get,platform,data-intelligence
POST,/api/v1/mlops/{operation},run_mlops_api_v1_mlops__operation__post,mlops,data-intelligence
GET,/api/v1/models,list_models_api_v1_models_get,machine_learning,data-intelligence
GET,/api/v1/models/{model_id},get_model_api_v1_models__model_id__get,machine_learning,data-intelligence
POST,/api/v1/models/{model_version_id}/calibration,model_calibration_api_v1_models__model_version_id__calibration_post,machine_learning,data-intelligence
POST,/api/v1/models/{model_version_id}/diagnostics/{operation},model_diagnostics_api_v1_models__model_version_id__diagnostics__operation__post,machine_learning,data-intelligence
POST,/api/v1/models/{model_version_id}/explain,explain_model_api_v1_models__model_version_id__explain_post,machine_learning,data-intelligence
POST,/api/v1/models/{model_version_id}/monitor/{operation},monitor_model_api_v1_models__model_version_id__monitor__operation__post,machine_learning,data-intelligence
POST,/api/v1/models/{model_version_id}/status,update_model_status_api_v1_models__model_version_id__status_post,machine_learning,data-intelligence
POST,/api/v1/models/{model_version_id}/thresholds,model_thresholds_api_v1_models__model_version_id__thresholds_post,machine_learning,data-intelligence
POST,/api/v1/pdf-reports/generate,generate_pdf_report_api_v1_pdf_reports_generate_post,platform,
GET,/api/v1/platform/acquisition-readiness,platform_acquisition_readiness_api_v1_platform_acquisition_readiness_get,platform,
GET,/api/v1/platform/capabilities,platform_capabilities_api_v1_platform_capabilities_get,platform,
GET,/api/v1/platform/enterprise-bi-blueprint,platform_enterprise_bi_blueprint_api_v1_platform_enterprise_bi_blueprint_get,platform,
GET,/api/v1/platform/enterprise-bi-capabilities,platform_enterprise_bi_capabilities_api_v1_platform_enterprise_bi_capabilities_get,platform,
GET,/api/v1/platform/professional-capabilities,platform_professional_capabilities_api_v1_platform_professional_capabilities_get,platform,
GET,/api/v1/project-catalog,get_project_catalog_api_v1_project_catalog_get,platform,
GET,/api/v1/project-catalog/{project_id},get_project_catalog_item_api_v1_project_catalog__project_id__get,platform,
POST,/api/v1/project-validation/run,run_project_validation_api_v1_project_validation_run_post,platform,
GET,/api/v1/projects/{project_id}/artifacts/{kind},download_project_artifact_api_v1_projects__project_id__artifacts__kind__get,platform,
POST,/api/v1/projects/{project_id}/build,build_portfolio_project_api_v1_projects__project_id__build_post,platform,
GET,/api/v1/reports/{dataset_id},get_standard_report_api_v1_reports__dataset_id__get,bi_reporting,
POST,/api/v1/sql/database-query,query_uploaded_sqlite_database_api_v1_sql_database_query_post,platform,
POST,/api/v1/sql/proficiency-benchmark,sql_proficiency_benchmark_api_v1_sql_proficiency_benchmark_post,platform,
POST,/api/v1/sql/validate,validate_sql_api_v1_sql_validate_post,platform,
GET,/api/v1/workspaces/{workspace_id}/assets,list_workspace_assets_api_v1_workspaces__workspace_id__assets_get,platform,
POST,/api/v1/workspaces/{workspace_id}/assets,create_workspace_asset_api_v1_workspaces__workspace_id__assets_post,platform,
GET,/api/v1/workspaces/{workspace_id}/assets/{asset_id},get_workspace_asset_api_v1_workspaces__workspace_id__assets__asset_id__get,platform,
PUT,/api/v1/workspaces/{workspace_id}/assets/{asset_id},update_workspace_asset_api_v1_workspaces__workspace_id__assets__asset_id__put,platform,
POST,/api/v1/workspaces/{workspace_id}/assets/{asset_id}/publish,publish_workspace_asset_api_v1_workspaces__workspace_id__assets__asset_id__publish_post,platform,
GET,/api/v1/workspaces/{workspace_id}/lineage,get_workspace_lineage_api_v1_workspaces__workspace_id__lineage_get,platform,
POST,/api/v1/workspaces/{workspace_id}/validate,validate_workspace_api_v1_workspaces__workspace_id__validate_post,platform,
